ORDER_ITEM_ID,ORDER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,EXTENDED_PRICE
1,1,98,2,148.34,296.68
2,1,58,1,286.5,286.5
3,2,177,3,348.29,1044.87
4,2,97,5,205.5,1027.5
5,2,177,3,182.35,547.05
6,2,87,3,310.52,931.56
7,2,29,5,39.68,198.4
8,3,28,3,22.33,66.99
9,3,99,1,241.25,241.25
10,3,49,2,69.37,138.74
11,4,12,4,356.38,1425.52
12,5,121,4,297.04,1188.16
13,5,139,2,120.46,240.92
14,5,117,3,310.04,930.12
15,6,41,1,115.46,115.46
16,6,4,5,377.96,1889.8
17,6,166,5,273.88,1369.4
18,7,51,4,60.2,240.8
19,7,88,1,419.84,419.84
20,7,156,1,499.46,499.46
21,7,195,1,339.55,339.55
22,7,122,1,75.63,75.63
23,8,167,3,460.92,1382.76
24,8,17,3,41.84,125.52
25,8,112,3,93.31,279.93
26,8,135,2,429.74,859.48
27,8,16,3,244.16,732.48
28,9,193,5,168.3,841.5
29,9,125,1,145.65,145.65
30,9,77,4,204.53,818.12
31,9,141,4,41.02,164.08
32,9,65,2,472.03,944.06
33,10,114,4,327.24,1308.96
34,11,71,5,386.49,1932.45
35,12,9,2,282.23,564.46
36,12,19,5,139.5,697.5
37,13,65,2,119.72,239.44
38,13,153,3,266.15,798.45
39,13,82,3,457.1,1371.3
40,13,38,1,44.09,44.09
41,14,98,5,481.5,2407.5
42,14,191,5,227.25,1136.25
43,14,57,2,347.29,694.58
44,14,189,1,170.21,170.21
45,15,34,2,98.04,196.08
46,15,5,1,64.71,64.71
47,15,101,5,253.21,1266.05
48,15,164,3,204.4,613.2
49,15,72,2,341.04,682.08
50,16,139,5,468.86,2344.3
51,16,168,5,409.84,2049.2
52,16,5,1,398.86,398.86
53,17,43,1,90.85,90.85
54,18,179,3,444.32,1332.96
55,18,96,2,294.73,589.46
56,18,39,3,135.37,406.11
57,18,104,2,331.68,663.36
58,19,73,4,457.25,1829.0
59,19,125,4,145.04,580.16
60,20,97,4,231.52,926.08
61,20,177,3,293.98,881.94
62,20,65,2,242.76,485.52
63,20,165,2,175.74,351.48
64,21,110,3,21.34,64.02
65,21,70,5,471.8,2359.0
66,21,112,1,7.25,7.25
67,21,138,3,14.62,43.86
68,22,169,3,224.6,673.8
69,22,2,5,297.75,1488.75
70,22,75,2,327.94,655.88
71,23,90,2,34.54,69.08
72,24,178,1,158.35,158.35
73,25,67,1,445.62,445.62
74,25,136,1,182.14,182.14
75,25,14,1,14.11,14.11
76,25,197,5,173.08,865.4
77,26,139,3,227.26,681.78
78,27,12,1,198.42,198.42
79,28,155,2,317.34,634.68
80,29,178,1,197.44,197.44
81,29,152,5,338.09,1690.45
82,29,55,1,268.78,268.78
83,29,29,5,387.94,1939.7
84,29,35,2,52.36,104.72
85,30,60,5,175.07,875.35
86,30,159,5,193.91,969.55
87,30,141,1,169.36,169.36
88,31,103,2,11.8,23.6
89,31,64,2,100.29,200.58
90,31,146,3,216.25,648.75
91,31,108,3,439.52,1318.56
92,32,163,5,271.08,1355.4
93,32,151,3,83.78,251.34
94,32,11,4,382.47,1529.88
95,32,183,5,330.81,1654.05
96,33,62,3,285.87,857.61
97,33,136,2,230.43,460.86
98,33,158,1,493.8,493.8
99,34,136,2,166.26,332.52
100,34,71,1,16.0,16.0
101,35,144,5,124.0,620.0
102,35,60,5,438.11,2190.55
103,35,125,3,286.45,859.35
104,35,37,4,154.13,616.52
105,36,134,1,189.37,189.37
106,36,20,1,390.0,390.0
107,36,141,3,263.04,789.12
108,37,163,4,178.51,714.04
109,37,41,1,448.35,448.35
110,37,67,4,366.29,1465.16
111,37,107,1,393.41,393.41
112,37,140,1,5.02,5.02
113,38,48,1,323.53,323.53
114,39,79,1,21.15,21.15
115,39,46,3,219.17,657.51
116,40,135,1,417.99,417.99
117,40,4,4,465.8,1863.2
118,40,51,1,481.8,481.8
119,40,120,4,226.83,907.32
120,41,82,3,197.5,592.5
121,41,199,1,80.51,80.51
122,42,134,4,29.39,117.56
123,42,62,5,430.39,2151.95
124,42,73,1,346.84,346.84
125,43,88,2,312.41,624.82
126,44,31,5,459.68,2298.4
127,44,14,2,307.32,614.64
128,44,13,1,27.55,27.55
129,45,162,1,192.09,192.09
130,45,15,2,257.59,515.18
131,45,8,5,122.9,614.5
132,46,44,1,230.53,230.53
133,47,96,2,427.38,854.76
134,47,166,1,249.89,249.89
135,47,13,4,124.13,496.52
136,48,91,4,369.82,1479.28
137,48,141,3,17.47,52.41
138,48,120,2,185.92,371.84
139,48,44,3,76.43,229.29
140,49,54,1,280.08,280.08
141,50,75,5,206.1,1030.5
142,50,112,1,198.6,198.6
143,50,192,1,406.69,406.69
144,50,172,2,457.1,914.2
145,51,54,3,40.42,121.26
146,51,200,1,135.83,135.83
147,52,155,3,413.89,1241.67
148,53,37,2,147.57,295.14
149,53,107,5,471.15,2355.75
150,54,80,1,406.22,406.22
151,54,36,1,264.47,264.47
152,54,107,1,199.03,199.03
153,55,159,1,318.77,318.77
154,55,63,1,472.27,472.27
155,56,61,2,161.28,322.56
156,56,198,1,370.66,370.66
157,57,57,4,454.92,1819.68
158,57,158,3,76.86,230.58
159,57,63,1,254.71,254.71
160,57,77,5,189.75,948.75
161,58,110,5,219.21,1096.05
162,58,140,5,310.82,1554.1
163,58,93,5,408.67,2043.35
164,58,105,1,480.82,480.82
165,59,163,4,375.63,1502.52
166,59,109,4,220.49,881.96
167,59,61,4,359.99,1439.96
168,59,173,2,404.96,809.92
169,60,54,2,90.7,181.4
170,61,127,1,313.21,313.21
171,62,123,4,404.43,1617.72
172,62,93,5,112.78,563.9
173,62,163,1,356.83,356.83
174,62,48,5,187.73,938.65
175,62,101,2,419.94,839.88
176,63,90,1,16.52,16.52
177,63,21,2,398.4,796.8
178,63,73,4,311.61,1246.44
179,63,141,4,452.53,1810.12
180,64,185,2,59.63,119.26
181,64,87,4,212.43,849.72
182,65,122,5,490.17,2450.85
183,65,118,5,84.76,423.8
184,65,173,2,278.86,557.72
185,65,134,3,318.38,955.14
186,66,107,3,27.94,83.82
187,66,164,5,374.11,1870.55
188,67,120,5,160.25,801.25
189,67,175,2,498.57,997.14
190,67,85,2,345.28,690.56
191,68,16,3,128.93,386.79
192,68,106,4,272.1,1088.4
193,68,22,4,322.85,1291.4
194,68,19,3,175.1,525.3
195,69,62,3,121.93,365.79
196,69,20,5,138.39,691.95
197,70,109,2,172.87,345.74
198,70,1,5,26.26,131.3
199,70,52,4,282.89,1131.56
200,70,156,4,282.1,1128.4
201,70,33,3,305.29,915.87
202,71,168,3,11.68,35.04
203,72,192,3,37.98,113.94
204,72,137,5,133.12,665.6
205,73,86,1,270.0,270.0
206,73,36,4,308.58,1234.32
207,73,125,4,261.43,1045.72
208,73,94,3,104.68,314.04
209,74,64,5,148.87,744.35
210,74,197,3,247.77,743.31
211,74,102,4,142.82,571.28
212,74,58,3,393.05,1179.15
213,74,127,1,232.02,232.02
214,75,84,3,346.33,1038.99
215,75,41,5,333.15,1665.75
216,75,103,3,386.16,1158.48
217,75,76,4,374.04,1496.16
218,75,88,1,321.21,321.21
219,76,96,1,355.25,355.25
220,76,129,4,298.92,1195.68
221,77,28,1,490.11,490.11
222,77,148,4,154.37,617.48
223,77,17,1,392.64,392.64
224,77,153,3,294.92,884.76
225,78,119,1,340.86,340.86
226,78,39,2,498.93,997.86
227,79,185,2,284.73,569.46
228,79,99,5,347.03,1735.15
229,79,94,1,58.07,58.07
230,79,157,3,232.98,698.94
231,80,133,2,388.59,777.18
232,80,70,1,398.14,398.14
233,80,26,2,451.65,903.3
234,81,119,4,149.4,597.6
235,81,70,1,24.06,24.06
236,81,186,2,211.45,422.9
237,81,16,1,180.06,180.06
238,81,84,1,153.67,153.67
239,82,65,2,307.84,615.68
240,83,15,5,129.41,647.05
241,83,87,2,218.04,436.08
242,83,173,1,454.93,454.93
243,84,128,1,417.46,417.46
244,84,148,4,9.4,37.6
245,84,179,5,226.73,1133.65
246,85,75,2,18.82,37.64
247,86,120,1,278.88,278.88
248,86,31,1,60.1,60.1
249,86,106,4,278.57,1114.28
250,87,32,5,254.46,1272.3
251,87,150,2,178.42,356.84
252,88,120,4,99.43,397.72
253,89,176,4,400.99,1603.96
254,89,76,5,440.07,2200.35
255,89,160,1,376.85,376.85
256,89,70,3,488.75,1466.25
257,89,147,5,108.65,543.25
258,90,79,3,219.9,659.7
259,90,60,3,452.08,1356.24
260,90,159,4,306.21,1224.84
261,90,29,5,45.54,227.7
262,91,136,2,22.52,45.04
263,91,127,5,305.08,1525.4
264,92,31,3,154.44,463.32
265,92,163,3,126.02,378.06
266,92,179,5,395.43,1977.15
267,93,8,1,37.41,37.41
268,94,64,2,227.67,455.34
269,94,35,3,115.73,347.19
270,95,52,5,46.67,233.35
271,96,78,1,171.13,171.13
272,96,170,5,449.77,2248.85
273,96,85,1,281.48,281.48
274,96,124,2,156.71,313.42
275,97,46,2,202.18,404.36
276,97,172,3,222.11,666.33
277,97,83,1,371.99,371.99
278,97,123,1,244.75,244.75
279,97,141,2,134.8,269.6
280,98,106,5,483.98,2419.9
281,98,154,3,112.95,338.85
282,98,25,5,271.32,1356.6
283,99,7,2,302.18,604.36
284,99,51,1,233.46,233.46
285,99,184,3,267.95,803.85
286,99,168,4,374.79,1499.16
287,99,76,1,399.43,399.43
288,100,71,1,465.99,465.99
289,100,187,1,134.78,134.78
290,100,75,4,238.14,952.56
291,100,27,2,394.07,788.14
292,100,78,5,429.04,2145.2
293,101,162,1,146.71,146.71
294,101,120,2,472.84,945.68
295,102,90,5,283.61,1418.05
296,103,27,2,413.29,826.58
297,103,87,1,21.58,21.58
298,103,113,3,481.83,1445.49
299,103,87,5,198.0,990.0
300,103,96,4,426.06,1704.24
301,104,59,4,28.81,115.24
302,104,164,3,48.14,144.42
303,104,85,3,22.49,67.47
304,105,81,5,106.16,530.8
305,105,16,4,411.4,1645.6
306,105,200,1,180.02,180.02
307,105,38,2,18.32,36.64
308,105,142,3,19.21,57.63
309,106,69,5,420.3,2101.5
310,106,178,4,93.03,372.12
311,107,111,2,318.9,637.8
312,107,146,2,408.58,817.16
313,108,129,4,219.56,878.24
314,108,152,3,226.78,680.34
315,109,84,5,497.5,2487.5
316,109,199,2,268.95,537.9
317,109,172,1,159.75,159.75
318,110,56,5,365.16,1825.8
319,110,94,5,483.6,2418.0
320,110,51,5,239.78,1198.9
321,111,4,1,389.62,389.62
322,111,169,2,38.42,76.84
323,111,135,4,400.4,1601.6
324,112,93,5,203.34,1016.7
325,112,76,3,276.32,828.96
326,112,77,1,166.41,166.41
327,113,32,3,430.01,1290.03
328,113,85,2,283.07,566.14
329,113,167,5,327.83,1639.15
330,114,82,1,160.53,160.53
331,114,92,1,284.7,284.7
332,115,111,4,236.03,944.12
333,116,175,2,181.39,362.78
334,117,41,5,129.36,646.8
335,117,78,5,345.61,1728.05
336,117,193,1,199.05,199.05
337,117,46,5,375.16,1875.8
338,118,101,5,149.96,749.8
339,118,49,4,386.32,1545.28
340,119,15,4,451.32,1805.28
341,119,146,5,420.17,2100.85
342,120,179,3,214.27,642.81
343,120,168,1,10.38,10.38
344,120,39,2,463.14,926.28
345,120,192,3,384.4,1153.2
346,121,139,2,63.75,127.5
347,122,95,2,12.43,24.86
348,122,123,1,400.75,400.75
349,122,190,5,498.48,2492.4
350,122,31,1,122.78,122.78
351,123,129,3,209.38,628.14
