ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,ORDER_TOTAL
1,419,2025-08-18 23:57:27,NEW,583.18
2,103,2025-08-19 00:01:16,SHIPPED,3749.38
3,97,2025-08-18 23:47:29,DELIVERED,446.98
4,766,2025-08-18 23:49:32,SHIPPED,1425.52
5,757,2025-08-18 23:56:28,DELIVERED,2359.2
6,997,2025-08-18 23:51:12,NEW,3374.66
7,968,2025-08-18 23:53:24,DELIVERED,1575.28
8,955,2025-08-18 23:44:30,NEW,3380.17
9,269,2025-08-18 23:51:11,NEW,2913.41
10,674,2025-08-18 23:47:29,SHIPPED,1308.96
11,934,2025-08-18 23:43:49,CANCELLED,1932.45
12,286,2025-08-18 23:46:56,DELIVERED,1261.96
13,423,2025-08-18 23:48:51,SHIPPED,2453.28
14,934,2025-08-19 00:01:03,CANCELLED,4408.54
15,15,2025-08-18 23:53:51,SHIPPED,2822.12
16,706,2025-08-18 23:56:26,NEW,4792.36
17,120,2025-08-18 23:57:20,SHIPPED,90.85
18,119,2025-08-18 23:54:38,SHIPPED,2991.89
19,177,2025-08-18 23:55:44,CANCELLED,2409.16
20,305,2025-08-18 23:46:01,CANCELLED,2645.02
21,373,2025-08-18 23:55:04,SHIPPED,2474.13
22,793,2025-08-18 23:53:10,SHIPPED,2818.43
23,777,2025-08-18 23:48:56,DELIVERED,69.08
24,687,2025-08-18 23:47:20,CANCELLED,158.35
25,124,2025-08-19 00:00:57,SHIPPED,1507.27
26,671,2025-08-18 23:45:54,CANCELLED,681.78
27,887,2025-08-18 23:46:44,CANCELLED,198.42
28,849,2025-08-18 23:52:43,NEW,634.68
29,592,2025-08-18 23:54:16,CANCELLED,4201.09
30,908,2025-08-18 23:47:11,DELIVERED,2014.26
31,432,2025-08-18 23:53:24,NEW,2191.49
32,401,2025-08-18 23:44:42,DELIVERED,4790.67
33,986,2025-08-18 23:55:16,DELIVERED,1812.27
34,502,2025-08-18 23:56:41,DELIVERED,348.52
35,89,2025-08-18 23:46:47,CANCELLED,4286.42
36,946,2025-08-18 23:59:48,CANCELLED,1368.49
37,772,2025-08-18 23:59:46,CANCELLED,3025.98
38,400,2025-08-18 23:50:01,DELIVERED,323.53
39,472,2025-08-18 23:49:57,DELIVERED,678.66
40,435,2025-08-18 23:47:57,DELIVERED,3670.31
41,522,2025-08-18 23:52:20,SHIPPED,673.01
42,745,2025-08-18 23:51:58,CANCELLED,2616.35
43,984,2025-08-18 23:45:11,CANCELLED,624.82
44,681,2025-08-18 23:44:59,NEW,2940.59
45,130,2025-08-18 23:58:24,SHIPPED,1321.77
46,903,2025-08-18 23:44:48,NEW,230.53
47,478,2025-08-18 23:54:44,SHIPPED,1601.17
48,277,2025-08-18 23:56:07,DELIVERED,2132.82
49,927,2025-08-18 23:59:35,DELIVERED,280.08
50,727,2025-08-18 23:59:00,NEW,2549.99
51,45,2025-08-18 23:48:39,NEW,257.09
52,668,2025-08-18 23:51:28,CANCELLED,1241.67
53,921,2025-08-19 00:00:01,DELIVERED,2650.89
54,163,2025-08-18 23:59:04,NEW,869.72
55,740,2025-08-18 23:55:19,DELIVERED,791.04
56,408,2025-08-18 23:45:00,DELIVERED,693.22
57,759,2025-08-18 23:53:00,SHIPPED,3253.72
58,994,2025-08-18 23:48:53,CANCELLED,5174.32
59,59,2025-08-18 23:43:50,CANCELLED,4634.36
60,826,2025-08-18 23:51:08,CANCELLED,181.4
61,540,2025-08-18 23:44:00,CANCELLED,313.21
62,878,2025-08-18 23:53:07,DELIVERED,4316.98
63,352,2025-08-18 23:55:41,SHIPPED,3869.88
64,692,2025-08-18 23:50:18,DELIVERED,968.98
65,371,2025-08-18 23:57:19,NEW,4387.51
66,487,2025-08-18 23:47:19,NEW,1954.37
